"filename", "language", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 2, 0, 0, 0, 1, 3
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\mvnw.cmd", "Batch", 0, 0, 0, 118, 51, 37, 206
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\pom.xml", "XML", 61, 0, 0, 0, 1, 5, 67
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\sonar-project.properties", "Java Properties", 0, 6, 0, 0, 0, 0, 6
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\LibreriaApplication.java", "Java", 0, 0, 9, 0, 0, 5, 14
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\configuracion\OpenAPIConfig.java", "Java", 0, 0, 39, 0, 0, 4, 43
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\controller\Controlador.java", "Java", 0, 0, 381, 0, 29, 38, 448
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\CarritoEntity.java", "Java", 0, 0, 25, 0, 0, 6, 31
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\CategoriaEntity.java", "Java", 0, 0, 23, 0, 0, 7, 30
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\DetalleFacturaEntity.java", "Java", 0, 0, 35, 0, 0, 7, 42
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\FacturaEntity.java", "Java", 0, 0, 68, 0, 0, 8, 76
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\InventarioEntity.java", "Java", 0, 0, 42, 0, 0, 4, 46
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\LibroCarritoEntity.java", "Java", 0, 0, 51, 0, 0, 6, 57
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\LibrosEntity.java", "Java", 0, 0, 107, 0, 0, 5, 112
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\MedioPagoEntity.java", "Java", 0, 0, 23, 0, 0, 6, 29
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\TipoDocumentoEntity.java", "Java", 0, 0, 31, 0, 0, 4, 35
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\TipoLibroEntity.java", "Java", 0, 0, 23, 0, 0, 6, 29
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\TipoUsuarioEntity.java", "Java", 0, 0, 23, 0, 0, 7, 30
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\UsuarioEntity.java", "Java", 0, 0, 99, 0, 0, 6, 105
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\entity\VentasEntity.java", "Java", 0, 0, 35, 0, 0, 5, 40
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\repository\CarritoRepository.java", "Java", 0, 0, 8, 0, 0, 6, 14
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\repository\CategoriaRepository.java", "Java", 0, 0, 9, 0, 0, 4, 13
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\repository\DetalleFacturaRepository.java", "Java", 0, 0, 9, 0, 0, 4, 13
